,City,Country,Date,Lat,Lng,Max Temp,Wind Speed,Cloudiness,Humidity
0,ushuaia,AR,2020-02-08 17:27:05,-54.8,-68.3,19.0,2.01,0,45
1,forio,IT,2020-02-08 17:28:42,40.73,13.86,11.11,2.1,0,66
2,mianyang,CN,2020-02-08 17:28:42,31.46,104.75,7.65,0.71,75,66
3,punta arenas,CL,2020-02-08 17:26:16,-53.15,-70.92,22.0,4.6,0,67
4,hilo,US,2020-02-08 17:24:51,19.73,-155.09,16.11,2.6,1,67
5,itarema,BR,2020-02-08 17:28:43,-2.92,-39.92,29.5,5.04,71,69
6,nikki,BJ,2020-02-08 17:28:43,9.94,3.21,29.85,1.93,3,12
7,barrow,US,2020-02-08 17:28:43,71.29,-156.79,-39.0,4.1,20,98
8,kaeo,NZ,2020-02-08 17:28:43,-35.1,173.78,13.89,5.66,76,100
9,faanui,PF,2020-02-08 17:28:43,-16.48,-151.75,27.91,9.14,100,79
10,vaini,TO,2020-02-08 17:28:43,-21.2,-175.2,26.0,2.6,20,94
11,upernavik,GL,2020-02-08 17:28:43,72.79,-56.15,-29.79,4.83,100,96
12,rikitea,PF,2020-02-08 17:28:23,-23.12,-134.97,25.62,7.4,62,78
13,bethel,US,2020-02-08 17:28:43,41.37,-73.41,5.0,5.1,75,47
14,albany,US,2020-02-08 17:28:43,42.6,-73.97,-1.11,5.1,75,57
15,georgetown,MY,2020-02-08 17:27:30,5.41,100.34,27.0,1.0,40,83
16,tahta,EG,2020-02-08 17:28:43,26.77,31.5,16.0,4.1,0,38
17,thompson,CA,2020-02-08 17:28:43,55.74,-97.86,-15.0,4.1,90,77
18,kapaa,US,2020-02-08 17:28:43,22.08,-159.32,21.0,2.1,75,72
19,kalmunai,LK,2020-02-08 17:28:43,7.42,81.82,26.34,4.67,11,71
20,mahebourg,MU,2020-02-08 17:28:04,-20.41,57.7,26.0,4.1,75,83
21,hobart,AU,2020-02-08 17:28:43,-42.88,147.33,14.44,1.5,90,67
22,tessalit,ML,2020-02-08 17:28:43,20.2,1.01,24.14,4.23,73,9
23,pacific grove,US,2020-02-08 17:28:43,36.62,-121.92,12.22,1.5,90,93
24,banda aceh,ID,2020-02-08 17:25:03,5.56,95.32,21.93,2.7,36,92
25,changqing,CN,2020-02-08 17:28:43,36.56,116.73,3.89,3.05,0,76
26,broome,US,2020-02-08 17:28:44,42.25,-75.83,-1.67,3.1,90,85
27,east london,ZA,2020-02-08 17:26:49,-33.02,27.91,21.0,0.5,40,88
28,tongren,CN,2020-02-08 17:28:44,27.72,109.19,4.85,0.9,99,93
29,baghmara,IN,2020-02-08 17:28:44,23.8,86.21,15.41,0.9,49,59
30,port alfred,ZA,2020-02-08 17:28:44,-33.59,26.89,20.0,4.93,57,94
31,khatanga,RU,2020-02-08 17:28:44,71.97,102.5,-24.1,2.21,66,96
32,mogadishu,SO,2020-02-08 17:25:45,2.04,45.34,26.31,7.51,85,83
33,ayagoz,KZ,2020-02-08 17:28:44,47.97,80.44,-2.38,2.53,100,74
34,nueva gerona,CU,2020-02-08 17:28:44,21.88,-82.8,24.35,7.2,74,81
35,mataura,NZ,2020-02-08 17:28:44,-46.19,168.86,10.56,5.81,98,94
36,bathsheba,BB,2020-02-08 17:28:44,13.22,-59.52,30.0,10.8,40,58
37,zalantun,CN,2020-02-08 17:28:44,48.0,122.72,-15.96,1.41,34,85
